k,b_k,G_tilde,eta_k,r_drift,gamma,x_before_0,x_after_0,a_0,x_before_1,x_after_1,a_1,x_before_2,x_after_2,a_2,x_before_3,x_after_3,a_3
461,0,1.622417,0.070993,0.007301,0.00563436,0.742228,0.739411,1,0.989858,0.986478,1,0.793782,0.791529,1,0.980280,0.976054,1
462,0,2.022965,0.070993,0.007301,0.00563436,0.739411,0.736594,1,0.986478,0.983097,1,0.791529,0.789275,1,0.976054,0.971828,1
463,0,2.422010,0.070993,0.007301,0.00563436,0.736594,0.733776,1,0.983097,0.979716,1,0.789275,0.787021,1,0.971828,0.967602,1
464,0,2.819554,0.070993,0.007301,0.00563436,0.733776,0.730959,1,0.979716,0.976336,1,0.787021,0.784767,1,0.967602,0.963377,1
465,0,3.215597,0.070993,0.007301,0.00563436,0.730959,0.728142,1,0.976336,0.972955,1,0.784767,0.782514,1,0.963377,0.959151,1
466,0,3.610138,0.070993,0.007301,0.00563436,0.728142,0.725325,1,0.972955,0.969574,1,0.782514,0.780260,1,0.959151,0.954925,1
467,0,4.003177,0.070993,0.007301,0.00563436,0.725325,0.722508,1,0.969574,0.966194,1,0.780260,0.778006,1,0.954925,0.950699,1
468,0,4.394715,0.070993,0.007301,0.00563436,0.722508,0.719691,1,0.966194,0.962813,1,0.778006,0.775752,1,0.950699,0.946474,1
469,0,4.784752,0.070993,0.007301,0.00563436,0.719691,0.716873,1,0.962813,0.959433,1,0.775752,0.773499,1,0.946474,0.942248,1
470,0,5.173286,0.070993,0.007301,0.00563436,0.716873,0.714056,1,0.959433,0.956052,1,0.773499,0.771245,1,0.942248,0.938022,1
471,0,5.560319,0.070993,0.007301,0.00563436,0.714056,0.711239,1,0.956052,0.952671,1,0.771245,0.768991,1,0.938022,0.933796,1
472,0,5.945851,0.070993,0.007301,0.00563436,0.711239,0.708422,1,0.952671,0.949291,1,0.768991,0.766737,1,0.933796,0.929570,1
473,0,6.329881,0.070993,0.007301,0.00563436,0.708422,0.705605,1,0.949291,0.945910,1,0.766737,0.764484,1,0.929570,0.925345,1
474,0,6.712410,0.070993,0.007301,0.00563436,0.705605,0.702787,1,0.945910,0.942530,1,0.764484,0.762230,1,0.925345,0.921119,1
475,0,7.093437,0.070993,0.007301,0.00563436,0.702787,0.699970,0,0.942530,0.939149,1,0.762230,0.759976,1,0.921119,0.916893,1
476,1,-35.405302,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.939149,0.947600,1,0.759976,0.765611,1,0.916893,0.926753,1
477,1,-34.988384,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.947600,0.956052,1,0.765611,0.771245,1,0.926753,0.936613,1
478,1,-34.568522,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.956052,0.964504,1,0.771245,0.776879,1,0.936613,0.946474,1
479,1,-34.145717,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.964504,0.972955,1,0.776879,0.782514,1,0.946474,0.956334,1
480,1,-33.719967,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.972955,0.981407,1,0.782514,0.788148,1,0.956334,0.966194,1
481,1,-33.291273,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.981407,0.989858,1,0.788148,0.793782,1,0.966194,0.976054,1
482,1,-32.859636,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.989858,0.998310,1,0.793782,0.799417,1,0.976054,0.985914,1
483,1,-32.425054,0.070993,0.007301,0.00563436,1.000000,1.000000,1,0.998310,1.000000,1,0.799417,0.805051,1,0.985914,0.995774,1
484,1,-31.989151,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.805051,0.810685,1,0.995774,1.000000,1
485,1,-31.553212,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.810685,0.816320,1,1.000000,1.000000,1
486,1,-31.117455,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.816320,0.821954,1,1.000000,1.000000,1
487,1,-30.681248,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.821954,0.827589,1,1.000000,1.000000,1
488,1,-30.244591,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.827589,0.833223,1,1.000000,1.000000,1
489,1,-29.807482,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.833223,0.838857,1,1.000000,1.000000,1
490,1,-29.369923,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,0.838857,0.844492,1,1.000000,1.000000,1
