drone_id,t,u1,u2,u3
cf3,2.1000,0.1179,-0.0405,-0.0749
cf3,2.2000,-0.1500,-0.0411,0.0779
cf3,2.3000,-0.0241,-0.0372,0.0719
cf3,2.4000,0.0188,-0.0376,0.0515
cf3,2.5000,0.0140,-0.0378,0.0358
cf3,2.6000,0.0046,-0.0372,0.0248
cf3,2.7000,-0.0029,-0.0360,0.0174
cf3,2.8000,-0.0083,-0.0344,0.0127
cf3,2.9000,-0.0124,-0.0326,0.0099
cf3,3.0000,-0.0161,-0.0307,0.0085
cf3,3.1000,-0.0198,-0.0285,0.0082
cf3,3.2000,-0.0243,-0.0261,0.0086
cf3,3.3000,-0.0299,-0.0234,0.0092
cf3,3.4000,-0.0371,-0.0201,0.0096
cf3,3.5000,-0.0457,-0.0161,0.0093
cf3,3.6000,-0.0520,-0.0115,0.0074
cf3,3.7000,-0.0328,-0.0029,-0.0032
cf3,3.8000,0.1426,0.1947,-0.0824
cf3,3.9000,0.0000,-0.0000,-0.0001
cf4,0.0000,-0.1500,-0.2999,0.0449
cf4,0.1000,-0.1064,-0.0109,0.0204
cf4,0.2000,0.0000,-0.0030,0.0235
cf4,0.3000,0.0825,0.0070,0.0144
cf4,0.4000,0.0990,0.0193,0.0015
cf4,0.5000,0.0882,0.0304,-0.0086
cf4,0.6000,0.0734,0.0396,-0.0152
cf4,0.7000,0.0589,0.0471,-0.0198
cf4,0.8000,0.0450,0.0530,-0.0238
cf4,0.9000,0.0314,0.0573,-0.0286
cf4,1.0000,0.0170,0.0601,-0.0351
cf4,1.1000,0.0011,0.0609,-0.0443
cf4,1.2000,-0.0170,0.0595,-0.0568
cf4,1.3000,-0.0340,0.0559,-0.0714
cf4,1.4000,-0.0258,0.0539,-0.0707
cf4,1.5000,0.1479,0.0561,0.0708
cf4,1.6000,-0.1498,0.0340,0.1166
cf4,1.7000,-0.0863,0.0256,0.0824
cf4,1.8000,-0.0292,-0.0139,0.0551
cf4,1.9000,-0.1500,-0.0354,0.0098
cf4,2.0000,-0.1197,-0.0089,-0.0191
cf4,2.1000,-0.0168,-0.0030,-0.0221
cf4,2.2000,-0.0158,0.0019,-0.0230
cf4,2.3000,-0.0000,0.0034,-0.0239
cf4,2.4000,0.0000,0.0049,-0.0284
cf4,2.5000,0.0000,0.0054,-0.0329
cf4,2.6000,0.1500,-0.0239,-0.0121
cf4,2.7000,0.1500,-0.0533,0.0101
cf4,2.8000,0.1424,-0.0805,0.0296
cf4,2.9000,0.0819,-0.0954,0.0391
cf4,3.0000,0.0247,-0.0990,0.0406
cf4,3.1000,-0.0296,-0.0923,0.0360
cf4,3.2000,-0.0785,-0.0767,0.0261
cf4,3.3000,-0.1196,-0.0537,0.0111
cf4,3.4000,-0.1484,-0.0258,-0.0078
cf4,3.5000,-0.1476,0.0007,-0.0241
cf4,3.6000,-0.0252,0.0044,-0.0187
cf4,3.7000,0.1031,-0.0057,-0.0011
cf4,3.8000,0.1500,0.3008,-0.0443
cf4,3.9000,0.0000,-0.0000,0.0001
